HPI,SP500
100.0,100.0
100.40238621336974,102.60364730265303
100.63841483995324,109.10669143386977
100.9664292031033,112.72493732389128
101.71226298043483,119.19442001526957
103.0200891471537,118.27391113481302
104.32010717497002,120.1429739700763
105.99703688525656,124.72177829945414
107.46145933155759,129.86379502570261
108.78963537916187,133.32320355549655
110.19244137409434,136.47494551583696
111.70368877735388,137.4264793037342
113.38264618070572,145.5328121227502
115.25044351463664,146.47018874356337
117.21972936592375,148.95268260294606
119.01330491310924,153.35338903394387
120.25193990706917,156.53359047264044
121.03614685073096,156.22914673407067
121.78370840843682,156.7620465048095
122.83665078318478,164.02535792279872
124.06178905537442,164.28492528266645
125.71074119189036,160.7369986759924
127.64471709519528,155.8930822603468
129.90958662493074,154.32165801916534
132.0958619355415,154.32273980834836
133.98149932744673,141.98984195373262
135.55164329096283,137.02017171391478
136.28053202352888,137.46939715044047
136.21280273809103,146.14383601909523
134.8041223509879,135.31833644870682
134.92833172918083,130.94412028634244
134.48364409773774,137.67178744287557
134.1019092848079,137.49229105608543
133.61018387514264,139.188832299108
133.2500617050361,143.371826026707
133.2688104429465,139.46655340476528
133.76310818772942,144.84018757228853
134.5619601124633,145.7084207345802
135.42966352343907,152.70886881756923
136.1239720775368,158.42670647182288
136.6961506371079,156.64437246353
137.10924929700238,154.948247732626
137.38276760222706,150.03899660400077
137.55777487536278,156.7394211910914
137.61116694979847,164.64615084549348
137.6427308333459,168.84361260158013
137.89504112377128,176.13470613093702
138.5863925990622,181.7087517165095
139.5512625682821,179.66766187544232
140.3572802136226,183.98084202473723
140.7823883014195,190.30357381244036
140.94174091688006,194.62136793457614
141.07106881130235,192.52017580060445
141.22526172795372,197.54722103370992
141.47859287540948,203.55872734378394
141.72942643964075,208.3942608180733
142.1508553403251,211.24057214096757
142.53509052271855,210.13732954610344
142.8692740474686,212.21689124424205
142.8686329666293,199.75148134514015
